,âú,è„â∫,â°,,,,â°,è„â∫,èc,
Name,Scale,,,Rot,,,Pos,,,
,,,,,,,,,,
StageFloor,800,1,800,0,0,0,0,0,0,è∞
StageFloor,800,1,800,0,0,0,800,0,0,
StageFloor,800,1,800,0,0,0,0,0,800,
StageFloor,800,1,800,0,0,0,-800,0,0,
StageFloor,800,1,800,0,0,0,0,0,-800,
StageFloor,800,1,800,0,0,0,800,0,800,
StageFloor,800,1,800,0,0,0,-800,0,800,
StageFloor,800,1,800,0,0,0,800,0,-800,
StageFloor,800,1,800,0,0,0,-800,0,-800,
,,,,,,,,,,
StageWall,2,10,20,0,0,0,-100,5,90,ç∂ÇÃï«
StageWall,2,10,20,0,0,0,-100,5,70,
StageWall,2,10,20,0,0,0,-100,5,50,
StageWall,2,10,20,0,0,0,-100,5,30,
StageWall,2,10,20,0,0,0,-100,5,10,
StageWall,2,10,20,0,0,0,-100,5,-10,
StageWall,2,10,20,0,0,0,-100,5,-30,
StageWall,2,10,20,0,0,0,-100,5,-50,
StageWall,2,10,20,0,0,0,-100,5,-70,
StageWall,2,10,20,0,0,0,-100,5,-90,
,,,,,,,,,,
StageWall,2,10,20,0,0,0,100,5,90,âEÇÃï«
StageWall,2,10,20,0,0,0,100,5,70,
StageWall,2,10,20,0,0,0,100,5,50,
StageWall,2,10,20,0,0,0,100,5,30,
StageWall,2,10,20,0,0,0,100,5,10,
StageWall,2,10,20,0,0,0,100,5,-10,
StageWall,2,10,20,0,0,0,100,5,-30,
StageWall,2,10,20,0,0,0,100,5,-50,
StageWall,2,10,20,0,0,0,100,5,-70,
StageWall,2,10,20,0,0,0,100,5,-90,
,,,,,,,,,,
StageWall,2,10,20,0,67.55,0,90,5,100,è„ÇÃï«
StageWall,2,10,20,0,67.55,0,70,5,100,
StageWall,2,10,20,0,67.55,0,50,5,100,
StageWall,2,10,20,0,67.55,0,30,5,100,
,,,,,,,,,,
StageWall,2,10,20,0,67.55,0,-10,5,100,
StageWall,2,10,20,0,67.55,0,-30,5,100,
StageWall,2,10,20,0,67.55,0,-50,5,100,
StageWall,2,10,20,0,67.55,0,-70,5,100,
StageWall,2,10,20,0,67.55,0,-90,5,100,
,,,,,,,,,,
StageWall,2,10,20,0,67.55,0,90,5,-100,â∫ÇÃï«
StageWall,2,10,20,0,67.55,0,70,5,-100,
StageWall,2,10,20,0,67.55,0,50,5,-100,
StageWall,2,10,20,0,67.55,0,30,5,-100,
StageWall,2,10,20,0,67.55,0,10,5,-100,
StageWall,2,10,20,0,67.55,0,-10,5,-100,
StageWall,2,10,20,0,67.55,0,-30,5,-100,
StageWall,2,10,20,0,67.55,0,-50,5,-100,
StageWall,2,10,20,0,67.55,0,-70,5,-100,
StageWall,2,10,20,0,67.55,0,-90,5,-100,
,,,,,,,,,,
StageGate,2,20,20,0,67.55,0,10,9,99,î‡
