<<<<<<< Updated upstream
,奥,上下,横,,,,横,上下,縦,
Name,Scale,,,Rot,,,Pos,,,
,,,,,,,,,,
StageFloor,200,1,200,0,0,0,0,0,0,
,,,,,,,,,,
StageWall,5,30,40,0,0,0,-102,10,80,
StageWall,5,30,40,0,0,0,-102,10,40,
StageWall,5,30,40,0,0,0,-102,10,0,
StageWall,5,30,40,0,0,0,-102,10,-40,
StageWall,5,30,40,0,0,0,-102,10,-80,
,,,,,,,,,,
StageWall,5,30,40,0,0,0,102,10,80,
StageWall,5,30,40,0,0,0,102,10,40,
StageWall,5,30,40,0,0,0,102,10,0,
StageWall,5,30,40,0,0,0,102,10,-40,
StageWall,5,30,40,0,0,0,102,10,-80,
,,,,,,,,,,
,,,,,,,,,,
StageWall,5,30,40,0,67.55,0,40,10,102,
StageWall,5,30,40,0,67.55,0,0,10,102,
StageWall,5,30,40,0,67.55,0,-40,10,102,
StageWall,5,30,40,0,67.55,0,-80,10,102,
,,,,,,,,,,
StageWall,5,30,40,0,67.55,0,80,10,-102,
StageWall,5,30,40,0,67.55,0,40,10,-102,
StageWall,5,30,40,0,67.55,0,0,10,-102,
StageWall,5,30,40,0,67.55,0,-40,10,-102,
StageWall,5,30,40,0,67.55,0,-80,10,-102,
,,,,,,,,,,
StageBuilding,10,10,10,0,0,0,10,5,0,真ん中
StageBuilding,10,10,10,0,0,0,-10,5,0,真ん中
StageBuilding,10,10,10,0,0,0,50,5,50,右上
StageBuilding,10,10,10,0,0,0,32,5,50,右上
StageBuilding,10,10,10,0,0,0,50,5,-50,右下
StageBuilding,10,10,10,0,0,0,-50,5,-50,左下
StageBuilding,10,10,10,0,0,0,-50,5,50,左上
=======
,奥,上下,横,,,,横,上下,縦
Name,Scale,,,Rot,,,Pos,,
,,,,,,,,,
StageFloor,200,1,200,0,0,0,0,0,0
,,,,,,,,,
StageWall,0.5,10,40,0,0,0,-100,5,80
StageWall,0.5,10,40,0,0,0,-100,5,40
StageWall,0.5,10,40,0,0,0,-100,5,0
StageWall,0.5,10,40,0,0,0,-100,5,-40
StageWall,0.5,10,40,0,0,0,-100,5,-80
,,,,,,,,,
StageWall,0.5,10,40,0,0,0,100,5,80
StageWall,0.5,10,40,0,0,0,100,5,40
StageWall,0.5,10,40,0,0,0,100,5,0
StageWall,0.5,10,40,0,0,0,100,5,-40
StageWall,0.5,10,40,0,0,0,100,5,-80
,,,,,,,,,
StageWall,0.5,10,40,0,67.55,0,80,5,100
StageWall,0.5,10,40,0,67.55,0,40,5,100
StageWall,0.5,10,40,0,67.55,0,0,5,100
StageWall,0.5,10,40,0,67.55,0,-40,5,100
StageWall,0.5,10,40,0,67.55,0,-80,5,100
,,,,,,,,,
StageWall,0.5,10,40,0,67.55,0,80,5,-100
StageWall,0.5,10,40,0,67.55,0,40,5,-100
StageWall,0.5,10,40,0,67.55,0,0,5,-100
StageWall,0.5,10,40,0,67.55,0,-40,5,-100
StageWall,0.5,10,40,0,67.55,0,-80,5,-100
,,,,,,,,,
StageBuilding,10,10,10,0,0,0,6,5,6
StageBuilding,10,10,10,0,0,0,6,5,-6
StageBuilding,10,10,10,0,0,0,-6,5,-6
StageBuilding,10,10,10,0,0,0,-6,5,6
,,,,,,,,,
StageBuilding,10,10,10,0,0,0,30,5,40
StageBuilding,10,10,10,0,0,0,30,5,30
StageBuilding,10,10,10,0,0,0,40,5,30
StageBuilding,10,10,10,0,0,0,50,5,30
,,,,,,,,,
StageBuilding,10,10,10,0,0,0,50,5,6
