,âú,è„â∫,â°,,,,â°,è„â∫,èc
Name,Scale,,,Rot,,,Pos,,
,,,,,,,,,
StageFloor,200,1,200,0,0,0,0,0,0
,,,,,,,,,
StageWall,0.5,10,40,0,0,0,-100,5,80
StageWall,0.5,10,40,0,0,0,-100,5,40
StageWall,0.5,10,40,0,0,0,-100,5,0
StageWall,0.5,10,40,0,0,0,-100,5,-40
StageWall,0.5,10,40,0,0,0,-100,5,-80
,,,,,,,,,
StageWall,0.5,10,40,0,0,0,100,5,80
StageWall,0.5,10,40,0,0,0,100,5,40
StageWall,0.5,10,40,0,0,0,100,5,0
StageWall,0.5,10,40,0,0,0,100,5,-40
StageWall,0.5,10,40,0,0,0,100,5,-80
,,,,,,,,,
StageWall,0.5,10,40,0,67.55,0,80,5,100
StageWall,0.5,10,40,0,67.55,0,40,5,100
StageWall,0.5,10,40,0,67.55,0,0,5,100
StageWall,0.5,10,40,0,67.55,0,-40,5,100
StageWall,0.5,10,40,0,67.55,0,-80,5,100
,,,,,,,,,
StageWall,0.5,10,40,0,67.55,0,80,5,-100
StageWall,0.5,10,40,0,67.55,0,40,5,-100
StageWall,0.5,10,40,0,67.55,0,0,5,-100
StageWall,0.5,10,40,0,67.55,0,-40,5,-100
StageWall,0.5,10,40,0,67.55,0,-80,5,-100
,,,,,,,,,
StageBuilding,10,10,10,0,0,0,0,1.5,80
StageBuilding,10,10,10,0,0,0,0,1.5,20
StageBuilding,10,10,10,0,0,0,10,1.5,60
StageBuilding,10,10,10,0,0,0,-2,1.5,-30
StageBuilding,10,10,10,0,0,0,-50,1.5,0
StageBuilding,10,10,10,0,0,0,-30,1.5,0
StageBuilding,10,10,10,0,0,0,30,1.5,0
StageBuilding,10,10,10,0,0,0,50,1.5,0
